date;exits;year;month;day;weekday;in_sample;exits_yesterday;exits_last_week;daily_roll;daily_ewma_fast;daily_ewma_slow;weekday_roll;weekday_ewma_fast;weekday_ewma_slow
2013-05-17;29297.0;2013;5;17;4;False;28935.0;38280.0;28329.7;28895.40021560526;27622.0542954306;39591.25;38387.563776085895;39431.74730985777
2013-05-18;16096.0;2013;5;18;5;False;29297.0;13476.0;27452.0;29277.876200743107;28459.5271477153;15644.5;13545.209299392025;14693.182062411555
2013-05-19;11575.0;2013;5;19;6;False;16096.0;8874.0;25346.6;16723.70839051158;22277.76357385765;11109.75;8939.925489000225;10106.611001256819
2013-05-20;38348.0;2013;5;20;0;False;11575.0;24324.0;22725.7;11820.17659002436;16926.381786928825;35402.25;24895.47732509167;31253.356750668823
2013-05-21;40287.0;2013;5;21;1;False;38348.0;28295.0;22732.5;37084.77031381069;27637.190893464413;37401.5;28768.906908369034;34018.00805720485
2013-05-22;40660.0;2013;5;22;2;False;40287.0;28105.0;25413.6;40134.51287208623;33962.09544673221;37782.75;28550.831041582842;34042.95794214731
2013-05-23;39424.0;2013;5;23;3;False;40660.0;28935.0;28592.2;40634.97680343268;37311.04772336611;37932.5;29366.648196796137;34456.580469642664
2013-05-24;35992.0;2013;5;24;4;False;39424.0;29297.0;30102.2;39481.66556206822;38367.523861683054;37459.25;29729.883989337424;34364.37365492889
2013-05-25;15368.5;2013;5;25;5;False;35992.0;16096.0;30871.9;36158.17455057468;37179.76193084153;15293.0;15974.533776161525;15394.591031205779
2013-05-26;15511.0;2013;5;26;6;False;15368.5;11575.0;29598.25;16358.484502408319;26274.130965420765;10854.75;11449.520261380963;10840.805500628408
2013-05-27;14855.0;2013;5;27;0;False;15511.0;38348.0;28255.85;15551.356404876587;20892.565482710383;34770.75;37707.403682147225;34800.67837533441
2013-05-28;43281.0;2013;5;28;1;False;14855.0;40287.0;26811.65;14888.159828803648;17873.782741355193;37095.25;39738.519376589;37152.50402860242
2013-05-29;45674.0;2013;5;29;2;False;43281.0;40660.0;29530.15;41928.95999184779;30577.391370677597;37457.75;40083.372906742035;37351.47897107365
2013-05-30;47202.0;2013;5;30;3;False;45674.0;39424.0;32940.05;45495.664761516564;38125.6956853388;37111.0;38945.07848556172;36940.29023482133
2013-05-31;44820.0;2013;5;31;4;False;47202.0;35992.0;33825.45;47120.745941024594;42663.8478426694;36013.75;35693.80399949226;35178.186827464444
2013-06-01;20242.0;2013;6;1;5;False;44820.0;15368.5;34278.75;44929.55933052498;43741.9239213347;14944.125;15397.358751245787;15381.54551560289
2013-06-02;13638.0;2013;6;2;6;False;20242.0;15511.0;32236.95;21417.59806335833;31991.96196066735;11522.5;15317.596202922903;13175.902750314204
2013-06-03;46715.0;2013;6;3;0;False;13638.0;14855.0;29658.35;14008.45705063611;22814.980980333676;28413.25;15943.20969914987;24827.839187667207
2013-06-04;49574.0;2013;6;4;1;False;46715.0;43281.0;30730.65;45157.545573839816;34764.990490166834;37484.25;43112.31044650424;40216.75201430121
2013-06-05;50506.0;2013;6;5;2;False;49574.0;45674.0;34151.2;49363.692646373325;42169.49524508342;37897.25;45407.77966222581;41512.739485536826
2013-06-06;50676.0;2013;6;6;3;False;50506.0;47202.0;37650.7;50451.60441173206;46337.747622541705;38336.25;46808.81326121722;42071.14511741066
2013-06-07;45208.0;2013;6;7;4;False;50676.0;44820.0;41232.8;50665.31449579676;48506.87381127085;37097.25;44385.41923807106;39999.09341373222
2013-06-08;13671.5;2013;6;8;5;False;45208.0;20242.0;41425.5;45467.87211884747;46857.436905635426;16295.625;20011.30279767837;17811.772757801446
2013-06-09;10121.0;2013;6;9;6;False;13671.5;13638.0;38225.25;15185.612958040356;30264.468452817713;12399.5;13717.980771567756;13406.951375157103
2013-06-10;29083.0;2013;6;10;0;False;10121.0;46715.0;34517.15;10362.17204562097;20192.73422640886;31060.5;45249.67665234047;35771.419593833605
2013-06-11;30657.0;2013;6;11;1;False;29083.0;49574.0;32943.45;28191.532002172426;24637.86711320443;40359.25;49266.30049745258;44895.376007150604
2013-06-12;31668.0;2013;6;12;2;False;30657.0;50506.0;33984.95;30539.59676200821;27647.433556602213;41236.25;50263.22760296314;46009.36974276841
2013-06-13;29835.0;2013;6;13;3;False;31668.0;50676.0;35787.95;31614.266512476584;29657.716778301106;41559.25;50491.84825053415;46373.57255870533
2013-06-14;29701.0;2013;6;14;4;False;29835.0;45208.0;34099.95;29919.7269767846;29746.358389150555;38829.25;45168.82948752719;42603.54670686611
