index;year;month;day;weekday;exits;in_sample;Date;exits_yesterday;exits_last_week;target_daily_roll;target_daily_emov_fast;target_daily_emov_slow;target_daily_weekday_roll;target_daily_weekday_emov_fast;target_daily_weekday_emov_slow
116;2010;9;16;3;27449.0;True;2010-09-16 00:00:00;25837.0;30807.0;24569.7;25882.929872015204;25049.045480102825;17340.5;29906.77307606321;22254.996353093768
117;2010;9;17;4;24723.0;True;2010-09-17 00:00:00;27449.0;31586.0;26229.8;27374.42523200072;26249.022740051412;17359.0;30618.78127923706;22494.256534676126
118;2010;9;18;5;14789.0;True;2010-09-18 00:00:00;24723.0;19616.0;25558.2;24849.258344380985;25486.011370025706;11518.125;19220.864036038685;14319.485641260395
119;2010;9;19;6;11120.0;True;2010-09-19 00:00:00;14789.0;10093.0;23754.5;15268.059921161;20137.505685012853;7683.25;10077.709336112952;8651.469810025177
120;2010;9;20;0;34820.0;True;2010-09-20 00:00:00;11120.0;25755.0;21785.8;11317.526662912427;15628.752842506427;16293.0;25046.264002785007;18831.702397936995
121;2010;9;21;1;27832.0;True;2010-09-21 00:00:00;34820.0;26890.0;22109.2;33700.834602995834;25224.37642125321;22065.0;27061.681273027727;24648.860838782035
122;2010;9;22;2;36001.0;True;2010-09-22 00:00:00;27832.0;25837.0;22930.8;28111.468314428374;26528.188210626606;21747.0;26119.87635130893;24335.348406588797
123;2010;9;23;3;35341.0;True;2010-09-23 00:00:00;36001.0;27449.0;25521.6;35625.308014972776;31264.594105313303;22158.75;27566.036813145867;24852.01799024956
124;2010;9;24;4;34817.0;True;2010-09-24 00:00:00;35341.0;24723.0;26480.2;35354.538476903464;33302.79705265665;21517.0;25003.751489487477;23608.63676938453
125;2010;9;25;5;17425.0;True;2010-09-25 00:00:00;34817.0;14789.0;27272.9;34842.59707032874;34059.898526328325;12942.125;15000.041144573272;14554.244611699003
126;2010;9;26;6;12521.0;True;2010-09-26 00:00:00;17425.0;11120.0;26431.7;18254.40938430137;25742.449263164162;8737.5;11070.367111243473;9885.744321779799
