time;in_sample;exits;annotation
2010-07-24 08:00:00;True;844.0;FULTON ST
2010-07-24 12:00:00;True;1225.0;FULTON ST
2010-07-24 16:00:00;True;1182.0;FULTON ST
2010-07-24 20:00:00;True;821.0;FULTON ST
2010-07-25 00:00:00;True;307.0;FULTON ST
2010-07-25 04:00:00;True;62.0;FULTON ST
2010-07-25 08:00:00;True;601.0;FULTON ST
2010-07-25 12:00:00;True;954.0;FULTON ST
2010-07-25 16:00:00;True;796.0;FULTON ST
2010-07-25 20:00:00;True;521.0;FULTON ST
2010-07-26 00:00:00;True;132.0;FULTON ST
2010-07-26 04:00:00;True;338.0;FULTON ST
2010-07-26 08:00:00;True;3775.0;FULTON ST
2010-07-26 12:00:00;True;2579.0;FULTON ST
2010-07-26 16:00:00;True;1894.0;FULTON ST
2010-07-26 20:00:00;True;1167.0;FULTON ST
2010-07-27 00:00:00;True;300.0;FULTON ST
2010-07-27 04:00:00;True;359.0;FULTON ST
2010-07-27 08:00:00;True;3884.0;FULTON ST
2010-07-27 12:00:00;True;2685.0;FULTON ST
2010-07-27 16:00:00;True;1982.0;FULTON ST
2010-07-27 20:00:00;True;1184.0;FULTON ST
2010-07-28 00:00:00;True;334.0;FULTON ST
2010-07-28 04:00:00;True;375.0;FULTON ST
2010-07-28 08:00:00;True;1233.0;FULTON ST
2010-07-28 12:00:00;True;1386.0;FULTON ST
2010-07-28 16:00:00;True;964.0;FULTON ST
2010-07-28 20:00:00;True;1270.0;FULTON ST
2010-07-29 00:00:00;True;352.0;FULTON ST
2010-07-29 04:00:00;True;357.0;FULTON ST
2010-07-29 08:00:00;True;3882.0;FULTON ST
2010-07-29 12:00:00;True;2608.0;FULTON ST
2010-07-29 16:00:00;True;2049.0;FULTON ST
2010-07-29 20:00:00;True;1216.0;FULTON ST
2010-07-30 00:00:00;True;375.0;FULTON ST
2010-07-30 04:00:00;True;339.0;FULTON ST
2010-07-30 08:00:00;True;3686.0;FULTON ST
2010-07-30 12:00:00;True;2545.0;FULTON ST
2010-07-30 16:00:00;True;2243.0;FULTON ST
2010-07-30 20:00:00;True;1638.0;FULTON ST
2010-07-31 00:00:00;True;958.5;FULTON ST interpolated
